"Symbol","Type","Private PA beta [95% CI]","Private NA beta [95% CI]","Public PA beta [95% CI]","Public NA beta [95% CI]"
"🤣","Emoji","-0.14 [-0.26, -0.02]","0.18 [0.06, 0.30]","-0.09 [-0.27, 0.10]","0.16 [0.01, 0.30]"
"😂","Emoji","-0.08 [-0.20, 0.04]","0.09 [-0.02, 0.20]","-0.21 [-0.36, -0.06]","0.12 [-0.04, 0.28]"
"👏","Emoji","0.19 [0.07, 0.31]","-0.23 [-0.36, -0.09]","0.03 [-0.06, 0.12]","-0.05 [-0.14, 0.03]"
"smiley3","Emoticon","0.02 [-0.19, 0.23]","-0.05 [-0.20, 0.09]","-0.37 [-0.69, -0.04]","-0.02 [-0.39, 0.35]"
"🙈","Emoji","-0.10 [-0.19, -0.00]","0.06 [-0.03, 0.16]","-0.17 [-0.48, 0.13]","0.06 [-0.27, 0.40]"
"😏","Emoji","-0.03 [-0.11, 0.05]","-0.00 [-0.13, 0.12]","-0.16 [-0.24, -0.09]","0.19 [0.11, 0.27]"
"smiley2","Emoticon","0.04 [-0.13, 0.22]","0.03 [-0.12, 0.19]","0.13 [-0.12, 0.39]","-0.17 [-0.43, 0.08]"
"😀","Emoji","0.04 [-0.03, 0.11]","-0.04 [-0.09, 0.02]","0.17 [0.04, 0.30]","-0.11 [-0.22, -0.01]"
"😎","Emoji","0.07 [-0.11, 0.24]","-0.10 [-0.24, 0.04]","0.14 [0.07, 0.21]","-0.02 [-0.09, 0.04]"
"🤔","Emoji","-0.04 [-0.17, 0.08]","-0.13 [-0.24, -0.02]","-0.06 [-0.19, 0.06]","-0.07 [-0.18, 0.04]"
